artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Liam Corcoran,Giving Tree and Other Songs,alternative,https://liamcorcoran1.bandcamp.com/album/giving-tree-and-other-songs,pei,2.0,5,2020-03-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027f9d7914ee65ba4cdd53bbc7,3NhdDLyPorN1uX6dBd2Bbq,0zlEVpTGDVqx453JLiuA3d
Liam Corcoran,ROM-DROM,alternative,https://liamcorcoran1.bandcamp.com/album/rom-drom,pei,2.0,5,2015-08-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b4b9a0493656e866f0eae50a,56csMPPwqfYvh6mqPgbQt6,0zlEVpTGDVqx453JLiuA3d
Emorine,Nostradamus,electronic,https://techgnosisrecords.bandcamp.com/album/nostradamus,newbrunswick,2.0,5,2020-02-14T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023ab43774a9a9b53954c85c23,43RQaOE8mEStOr9JzMh2tG,3lYDFjAAIuD3rL04ZgHgnR
Toria Summerfield,From Her Rib,alternative,https://toriasummerfield.bandcamp.com/album/from-her-rib,saskatchewan,2.0,5,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028ed8467e54162aaf7a670784,341MTripULQAepPlsBFxpo,2N835XOtrCqR6v25QIED8P
Mick Davis,The Sound of Jeans,rock,https://mickdavis.bandcamp.com/album/the-sound-of-jeans,newfoundland,2.0,5,2018-11-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ac810ba6ad0ab4a664dbcd18,2pPh140r3x9ZNwJGQcszpT,49LFMxfnisUQrAOgeYNXkO
Mick Davis,Drone with Variations,rock,https://mickdavis.bandcamp.com/album/drone-with-variations,newfoundland,2.0,5,2002-07-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cae8043877d2f0bb6ef6ff68,0rNH9a6nWosWWwMoedim7n,49LFMxfnisUQrAOgeYNXkO
Mick Davis,"Victoria, B.C. 1967",rock,https://mickdavis.bandcamp.com/album/victoria-b-c-1967,newfoundland,2.0,5,2001-12-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02fd45f038b7ec71d6d0bcd479,7yeK74l9QPs5MivvGAxzb4,49LFMxfnisUQrAOgeYNXkO
Mick Davis,Endless Weekend,rock,https://mickdavis.bandcamp.com/album/endless-weekend,newfoundland,2.0,5,2017-08-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a325f080ab04bc5816c7cb16,35qdeBvxXPK4Dql00vIcmn,49LFMxfnisUQrAOgeYNXkO
Mick Davis,Hello Again,rock,https://mickdavis.bandcamp.com/album/hello-again,newfoundland,2.0,5,2017-08-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026def4bf3332d11596ad22466,5Jg2bMm8HEN5ubfDbQVukb,49LFMxfnisUQrAOgeYNXkO
Mick Davis,Coats & Badges,rock,https://mickdavis.bandcamp.com/album/coats-badges,newfoundland,2.0,5,2017-08-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02723b67b4b8abd051fe3ff3e3,4clIHzgGPXHOfjLES7VfNl,49LFMxfnisUQrAOgeYNXkO
